retrograde, 1
desire;, 1
remain, 2
Here, 9
cheer, 3
comfort, 1
chiefest, 1
courtier,, 2
cousin,, 1
son., 2
her, 68
prayers,, 2
stay, 7
go, 35
Wittenberg., 1
obey, 4
madam., 1
Why,, 30
loving, 3
reply., 2
Be, 17
Madam,, 5
come., 6
gentle, 5
unforc'd, 1
accord, 1
Sits, 1
smiling, 2
heart;, 3
grace, 7
whereof,, 1
jocund, 1
health, 4
drinks, 2
to-day, 1
great, 24
tell,, 1
King's, 5
rouse, 1
bruit, 1
again,, 7
Respeaking, 1
earthly, 1
thunder., 1
Come, 10
away., 5
O, 50
solid, 1
flesh, 4
melt,, 1
Thaw,, 1
resolve, 1
itself, 21
into, 23
dew!, 1
Everlasting, 1
fix'd, 2
canon, 1
self-slaughter!, 1
God!, 4
weary,, 1
stale,, 1
flat,, 1
unprofitable, 1
Seem, 1
uses, 3
world!, 2
Fie, 2
on't!, 4
ah,, 1
fie!, 1
unweeded, 1
garden, 2
grows, 3
seed;, 1
things, 9
rank, 5
Possess, 1
merely., 1
this!, 3
months, 3
dead!, 2
much,, 3
two., 2
excellent, 8
Hyperion, 1
satyr;, 1
beteem, 1
winds, 3
Visit, 1
face, 6
roughly., 1
Heaven, 4
earth!, 2
Must, 5
remember?, 1
she, 35
increase, 1
appetite, 1
grown, 4
fed, 2
on;, 2
yet,, 3
month-, 1
Frailty,, 1
name, 8
woman!-, 1
month,, 3
shoes, 1
were, 24
followed, 2
poor, 19
body, 11
Like, 7
Niobe,, 1
tears-, 1
she,, 2
(O, 2
beast, 2
wants, 2
discourse, 4
Would, 13
mourn'd, 1
longer), 1
married, 2
uncle;, 1
brother,, 2
Hercules., 1
Within, 4
Ere, 2
salt, 3
unrighteous, 1
tears, 4
left, 2
flushing, 1
galled, 1
eyes,, 6
She, 9
married., 1
wicked, 6
speed,, 1
post, 1
dexterity, 1
incestuous, 2
sheets!, 1
not,, 17
good., 6
tongue!, 1
Bernardo., 1
Hail, 1
lordship!, 1
glad, 4
see, 29
well., 17
Horatio!-, 1
forget, 3
myself., 2
same,, 1
ever., 2
Sir,, 11
friend-, 1
change, 3
Marcellus?, 1
lord!, 13
you.-, 3
[To, 5
Bernardo], 1
even,, 2
sir.-, 1
what,, 3
faith,, 6
Wittenberg?, 1
truant, 1
disposition,, 1
enemy, 1
ear, 10
violence, 2
truster, 1
report, 5
truant., 1
Elsinore?, 2
We'll, 9
teach, 4
drink, 5
deep, 4
depart., 1
funeral., 1
prithee, 2
mock, 4
fellow, 7
student., 1
mother's, 6
wedding., 1
Indeed,, 8
upon., 1
Thrift,, 1
thrift,, 2
Horatio!, 5
funeral, 2
bak'd, 1
meats, 1
coldly, 2
furnish, 1
forth, 3
marriage, 3
tables., 1
met, 1
foe, 1
day,, 6
father-, 1
methinks, 3
where,, 1
lord?, 31
saw, 11
once., 5
goodly, 3
man,, 10
all., 5
yesternight., 1
Saw?, 1
who?, 2
father?, 3
Season, 1
admiration, 1
while, 9
attent, 1
ear,, 3
deliver, 1
witness, 1
gentlemen,, 5
marvel, 1
God's, 3
hear!, 1
gentlemen, 3
(Marcellus, 1
Bernardo), 1
their, 52
vast, 1
middle, 2
Been, 2
thus, 22
encount'red., 1
Armed, 1
point, 5
exactly,, 1
cap-a-pe,, 1
Appears, 1
march, 2
Goes, 2
stately, 1
Thrice, 1
walk'd, 1
oppress'd, 1
fear-surprised, 1
truncheon's, 1
length;, 1
whilst, 3
distill'd, 1
Almost, 1
jelly, 1
act, 7
fear,, 3
dreadful, 3
secrecy, 2
did,, 4
third, 2
kept, 4
watch;, 1
Where,, 1
deliver'd,, 1
both, 19
time,, 4
Form, 1
thing,, 2
each, 8
word, 6
good,, 2
comes., 3
knew, 5
hands, 6
this?, 11
watch'd., 1
it?, 5
did;, 1
none., 3
methought, 2
lifted, 1
did, 46
address, 1
Itself, 1
motion,, 2
speak;, 2
crew, 1
loud,, 1
sound, 3
shrunk, 1
away, 10
vanish'd, 1
sight., 1
live,, 1
honour'd, 4
true;, 2
indeed,, 4
sirs., 2
troubles, 1
Hold, 5
Both, 5
[Mar., 1
Ber.], 1
do,, 11
Arm'd,, 2
Both., 8
top, 6
toe?, 1
foot., 1
Then, 21
face?, 2
yes,, 1
wore, 1
beaver, 1
up., 3
look'd, 4
frowningly., 1
countenance, 3
anger., 1
Pale, 2
red?, 1
constantly., 1
there., 8
amaz'd, 1
Very, 7
like,, 2
Stay'd, 1
long?, 2
While, 1
moderate, 1
hundred., 1
Longer,, 1
longer., 1
saw't., 1
beard, 5
grizzled-, 1
no?, 2
was,, 3
sable, 2
silver'd., 1
to-night., 3
Perchance, 1
warr'nt, 1
will., 8
assume, 3
person,, 1
hell, 4
gape, 1
peace., 3
hitherto, 2
conceal'd, 1
tenable, 1
silence, 4
still;, 2
whatsoever, 1
else, 11
hap, 1
to-night,, 2
tongue., 4
requite, 1
loves., 2
So,, 6
fare, 2
platform,, 1
'twixt, 2
eleven, 1
twelve,, 1
visit, 4
All., 6
honour., 3
Farewell., 8
[all, 2
Hamlet]., 1
spirit-, 1
arms?, 2
foul, 8
play., 11
come!, 7
Till, 10
still,, 4
soul., 1
Foul, 1
deeds, 1
rise,, 1
o'erwhelm, 1
them,, 8
men's, 3
III., 4
house, 4
Ophelia., 5
necessaries, 1
embark'd., 1
And,, 14
benefit, 1
convoy, 1
assistant,, 1
sleep,, 2
Oph., 58
that?, 7
trifling, 1
favour,, 1
fashion,, 2
toy, 2
blood;, 1
violet, 1
youth, 11
primy, 1
Forward,, 1
permanent-, 1
sweet,, 2
lasting;, 1
perfume, 2
suppliance, 1
minute;, 1
more., 8
so?, 7
Think, 3
crescent, 1
does, 22
grow, 7
thews, 1
bulk;, 1
temple, 1
waxes,, 1
inward, 3
service, 4
soul, 21
Grows, 1
wide, 3
withal., 4
Perhaps, 1
loves, 3
soil, 1
cautel, 1
besmirch, 1
virtue, 7
will;, 1
greatness, 1
weigh'd,, 2
own;, 1
himself, 9
birth., 1
unvalued, 1
persons, 1
Carve, 1
himself,, 3
choice, 6
depends, 2
safety, 3
therefore, 7
circumscrib'd, 1
voice, 5
yielding, 1
Whereof, 1
head., 5
fits, 2
wisdom, 6
place, 5
May, 7
saying, 1
deed;, 1
weigh, 1
loss, 1
honour, 5
sustain, 1
credent, 1
songs,, 1
chaste, 3
open, 2
unmast'red, 1
importunity., 1
Fear, 1
keep, 15
rear, 1
affection,, 2
shot, 5
danger, 2
desire., 1
chariest, 1
maid, 3
prodigal, 2
enough, 5
unmask, 1
beauty, 4
moon., 2
Virtue, 3
scopes, 1
calumnious, 1
strokes., 1
canker, 2
galls, 2
infants, 1
spring, 2
Too, 3
buttons, 1
disclos'd,, 2
morn, 1
liquid, 1
Contagious, 1
blastments, 1
imminent., 1
wary, 2
then;, 2
lies, 6
fear., 2
Youth, 1
rebels,, 1
none, 7
near., 1
effect, 4
lesson, 1
watchman, 1
ungracious, 1
pastors, 1
Show, 1
steep, 1
thorny, 1
way, 8
Whiles,, 1
puff'd, 1
reckless, 1
libertine,, 1
Himself, 1
primrose, 1
path, 1
dalliance, 1
treads, 1
recks, 1
rede., 1
not!, 1
long., 2
double, 6
blessing, 4
grace;, 1
Occasion, 1
smiles, 1
second, 9
leave., 4
here,, 8
Aboard,, 1
aboard,, 1
shame!, 3
wind, 10
sits, 2
shoulder, 2
